,Subject,isspam
6482,¡Ú¡Ú¡Úºñ¾Æ±×¶ó.½Ã¾Ë¸®½º.ÈïºÐÁ¦ ÃÖ»ó±Þ¡Ú¡Ú¡Ú,spam 
6483,Elite Vacancies Available,spam 
6484,"Re' Your Pharmacy order # 8452             """,spam 
6485,A Message from Consumer Promotions,spam 
6486,A Message from Consumer Promotions,spam 
6487,Take control of your youth!,spam 
6488,(°í°´¼¾ÅÍ) ¾î·Á¿ï¶§ ÈûÀÌµÇ´Â Ä£±¸°¡ ÀÖ½À´Ï´Ù dfnnqe ,spam 
6489,À¯Åë°ü¸®»ç ÀÚ°ÝÁõ!  ¹«·áÀÚ·áÁ¦°ø (»ó´ãÈ¯¿µ) - ½¬¿îÇÕ°Ý ³ëÇÏ¿ì-,spam 
6490,"=?ISO-2022-JP?B?GyRCJCskbyRmIUEkJCVRJTgbKEI=?=
 =?ISO-2022-JP?B?GyRCJWMlXjtRJEc8OjZYGyhC?=",spam 
6491,¿©¼º Àüµ¿Á¦¸ð±â¸¦ ¹ÏÀ»¼ö¾ø´Â °¡°Ý¿¡ µå¸³´Ï´Ù. -ÈÄºÒÁ¦-,spam 
6492,Queen Nakadia open dates until June 2005,spam 
6493,Has your cum ever dribbled and you wish it had shot out?,spam 
6494,=?ISO-2022-JP?B?GyRCJV4lZiRAJGchQQ==?=,spam 
6495,Admirable Rx,spam 
6496,=?GB2312?B?jI+WvIFGgrGC6oLFgreCqYFI?=,spam 
6497,=?GB2312?B?saOwsteo08O/qFhHLTEwMDQ=?=     13:36:20:13,spam 
6498,you need the pill that would change life,spam 
6499,=?ISO-8859-1?b?RndkOiBFYXN5IHRvIE9yZGVyLCBGYXN0IERlbGl2ZXJ5ICAgICA2bg==?=,spam 
6500,Buy Vicodin at Unbelievable Prices,spam 
6501,=?ISO-2022-JP?B?GyRCIVo0fDRWOEJEaiFbJU8lYSVPJWElT0JnMiY4d05X?=,spam 
6502,you need the pill that would change life,spam 
6503,RE: ripple claims,ham 
6504,Thinning hair? Try a Voks sample today ,spam 
6505,No Doctor's visit,spam 
6506,Wonder what the key benefits of online shopping are?,spam 
6507,Queen Nakadia open dates until June 2005,spam 
6508,"=?ISO-2022-JP?B?GyRCJGIkQyRIPygkQyRGNDYbKEI=?=
 =?ISO-2022-JP?B?GyRCJDgkNSQ7JEYkLyRAJDUkJCEmISYhJhsoQg==?=",spam 
6509,Best free adult personals,spam 
6510,We Are the Best mmotley,spam 
6511,=?ISO-2022-JP?B?GyRCIVo0fDRWOEJEaiFbJU8lYSVPJWElT0JnMiY4d05X?=,spam 
6512,¼³¹®¿¡ Âü¿©ÇÏ½Ã°í ÇªÁüÇÑ »çÀºÇ°µµ ¹ÞÀ¸¼¼¿ä~! fx,spam 
6513,Thank you!,ham 
6514,=?iso-8859-1?B?RXZlcnlkYXkgc29mdCAtIHdob2xlc2FsZSBwcmljZQ==?=,spam 
6515,":__-'Cialis Online'_:_,",spam 
6516,New product! Cialis soft tabs.,spam 
6517,=?big5?Q?Fwd:Skype=AFu=A3x=A6n=A5=CE=B6=DC=3F=3F=3F?=,spam 
6518,A Message from Incentive Department,spam 
6519,High v0lume b0unce 0n this st0ck,spam 
6520,Queen Nakadia open dates until June 2005,spam 
6521,":__-'Cialis Online'_:_,",spam 
6522,DONATION FOR THE LORD,spam 
6523,Well!,spam 
6524,A Message from Incentive Department,spam 
6525,":~'`Cheao Online Pharmacy,,",spam 
6526,[Pub]The First Shopping Centre in Sotogrande,spam 
6527,Gouranga,spam 
6528,¼³¹®¿¡ Âü¿©ÇÏ½Ã¸é »çÀºÇ°À» µå¸³´Ï´Ù~! nf nouqwddtkrcjp tyj,spam 
6529,Savvy players wOuld be wise t0 l0ad up ear|y,spam 
6530,We provide fast rx refills and overnight delivery service,spam 
6531,Has your cum ever dribbled and you wish it had shot out?,spam 
6532,=?utf-8?B?RndkOiBbY2FubmluZ10gNzYlIG9mZiBWaWNvZGluLiAgZ3Vhbm8gR29sZG1hbg==?=,spam 
6533,you need the pill that would change life,spam 
6534,Viiagra for 0nly $90 x6,spam 
6535,My first bl0w - j0b ;),spam 
6536,Great Ppharmacy More,spam 
6537,CONGRATULATIONS!,spam 
6538,=?ISO-2022-JP?B?GyRCJV4lZiRAJGchQQ==?=,spam 
6539,Need prescripiton medications?,spam 
6540,Technical indicatOrs are pOsitive On this cOmpany,spam 
6541,=?ISO-8859-1?B?U2F0aXNmYWN0aW9uIEd1W2FyYW50ZWVkISBBbWF6aW5nIFByaWNlcyEgICAgIG82?=,spam 
6542,An exciting c0mpany f0r invest0rs,spam 
6543,Tri-State Capital NEW Stock of the Day (EMTK),spam 
6544,Online Pharmacy Price Guide,spam 
6545,½ÅÃ»ÇÏ½Å Ä«µå½ÅÃ»À» ½ÂÀÎÇØ µå·È½À´Ï´Ù. ÀÔ±Ý¾× È®ÀÎÇÏ¼¼¿ä.,spam 
6546,women that want to match up tonight,spam 
6547,Don't be like that...:),spam 
6548,Savvy players wOu|d be wise tO |0ad up early,spam 
6549,Queen Nakadia open dates until June 2005,spam 
6550,"=?iso-2022-jp?Q?=1B$B""(L$>5Bz$H>5Bz9-9p""#=1B(B8=1B$B@i=1B(B?=
 =?iso-2022-jp?Q?=1B$BK|1=5F<}F~J}K!Ds6!%a%k%^%,=1B(B?=
 =?iso-2022-jp?Q?=1B$B""#=3F7G/$O!Z#52/#9@iK|1=5F>Z=1B(B?=
 =?iso-2022-jp?Q?=1B$B5rM-%S%8%M%9![$GL\E*C#@.=1B(B?=
 =?iso-2022-jp?Q?6=1B$B@iK|1=5F>Z5rM-<}F~J}K!$""=1B(B?=
 =?iso-2022-jp?Q?=1B$B$j$^$9!!=1B(B-=1B$B#6@iK|1=5F0J2<G/=1B(B?=
 =?iso-2022-jp?Q?=1B$B<}$NJ}$KBg4=3F7^$5$l$F$$$^=1B(B?=
 =?iso-2022-jp?Q?=1B$B$9=1B(B---=1B$BO@$h$j>Z5r$G$9!#!!=1B(B?=",spam 
6551,"Carnaval Rio 2005 - Copcabana, Ipanema, Leblon",spam 
6552,Choose prescripiton medicine,spam 
6553,Viiagra for 0nly $90 x6,spam 
6554,,spam 
6555,Admirable Rx,spam 
6556,New product! Cialis soft tabs.,spam 
6557,°í±ÞÀüµ¿ Ä©¼ÖÀ» ¹ÏÀ»¼ö ¾ø´Â °¡°Ý¿¡ Àå¸¸ÇÏ¼¼¿ä,spam 
6558,A Message from Incentive Department,spam 
6559,"80% off retail, wholesale pharmaceuticals",spam 
6560,Overnight delivery service for your medical needs,spam 
6561,"ÈÄºÒ ÄÉÃ÷¾ÆÀÌ ½Ã°è,ÆÈÂî ¹ÏÀ»¼ö¾ø´Â °¡°Ý 800°³ ÇÑÁ¤ÆÇ¸Å",spam 
6562,Impress your girl with a huge cumshot!,spam 
6563,Feature prOfile p0ised t0 de|iver great success,spam 
6564,Experts are jumping al| Over this st0ck,spam 
6565,Feature prOfile p0ised t0 de|iver great success,spam 
6566,=?iso-8859-1?B?T2ZmaWNlIHNvZnR3YXJlIC0gdmVyeSBsb3cgcHJpY2U=?=,spam 
6567,Finest online pills here,spam 
6568,Admirable Rx,spam 
6569,DOn't Overl0Ok this h0t pick with break thrOugh technOlOgy,spam 
6570,¼¼½ºÃ¼Çè¿µ¾î~¹«·á½ÅÃ»½Ã~100%²ÇÂ¥ ¿µ¾î½Ãµð ÁõÁ¤!@ ekrlytsgieiezvwehoo ,spam 
6571,Sorry for delay my dear :) My photos inside :),spam 
6572,We Are the Best mmotley,spam 
6573,=?iso-8859-1?B?RXZlcnlkYXkgc29mdCAtIHdob2xlc2FsZSBwcmljZQ==?=,spam 
6574,I've heard a lot about you,spam 
6575,A Message from Consumer Promotions,spam 
6576,Action Requested:  Past Due Invoice,ham 
6577,"2005³â ¹ý·ü°øÆ÷ÈÄ ½Ç½ÃµÇ´Â 1È¸½ÃÇè ""¿Á¿Ü±¤°í»ç""",spam 
6578,I come In good faith .,spam 
6579,2005³âµµ¸¦ »ì¾Æ°¡´Â ¾Ë¶ãÁöÇý,spam 
6580,A Message from Consumer Promotions,spam 
6581,ÃÖ½ÅÇü ÇÚµåÆù ´Ü¸»±â ¿ù ±âº»·á¸¸ ³»°í »ç¿ëÇÒ¼öÀÖ´Ù.-¼±Âø¼ø 1.000¸í,spam 
6582,=?Windows-1251?B?zfPm5e0g6uvo5e3yLCD38u4g5OXr4PL8Pw==?=,spam 
6583,=?utf-8?B?UmU6IFtyYXJlbHldIDg0JSBvZmYgVmljb2Rpbi4gIGluZGljYXRvcnMgY2hhbXBpb24=?=,spam 
6584,Which do you want? Paracodin or Vicodin,spam 
6585,Best free adult personals,spam 
6586,=?iso-8859-1?B?QWRvYmUgQWNyb2JhdCA2LjAgLSB3aG9sZXNhbGUgcHJpY2U=?=,spam 
6587,Experts are jumping a|l Over this st0ck,spam 
6588,"For hot deals on meds, please check the discount pharmacy for more.",spam 
6589,=?utf-8?B?SGkgYWdhaW4=?=,spam 
6590,AWARD WINNER!!!,spam 
6591,=?Windows-1251?B?0+Ll6+j35e3o5SD36PHr4CDv7urz7+Dy5evl6Q==?=,spam 
6592,½Å¿ë»ó°ü¾øÀÌ ½ÅÃ»½Ã ´ëÃâ°¡´É Ä«µå´ëÃâ/Á÷Àå´ëÃâ Çö±Ý¼­ºñ½ºº¸´Ù ½Ñ ÀÌÀÚÀ² ´çÀÏÅëÀåÀÔ±Ý mrtywke cutztwet,spam 
6593,Viiagra for 0nly $90 x6,spam 
6594,Finest online pills here,spam 
6595,=?utf-8?B?W3NvYmVybmVzc10gNzglLW9mZiBWaWNvZGluLiAgZW5mb3JjZXJzIHRyYW5xdWlsbHk=?=,spam 
6596,,ham 
6597,=?iso-8859-1?b?SW1tZWRpYXRlIERlbGl2ZXJ5IG9mIFByXmVzY3JpcHRpb24gRHIvdWdzICAgICB3?=,spam 
6598,Choose prescripiton medicine,spam 
6599,"=?Windows-1251?B?0OXq6+Ds4DogwsjH2yDCINDO0dHI3iDIINDFw8jR0tDA1sjfISEhIM/OzM7Z3CDN?=
        =?Windows-1251?B?wCDSwMzOxs3FISEh?=",spam 
6600,E-Tag 1.7 training,ham 
6601,Start Date: 10/26/01; HourAhead hour: 11;  <CODESITE>,ham 
6602,anal internal cumshots,spam 
6603,,ham 
6604,Trans-Elect,ham 
6605,FW: Unpaid items due Enron via BHLP,ham 
6606,EOL and Clickpaper Approvals for 10-25-01,ham 
6607,MMS Keep Whole,ham 
6608,failure delivery,ham 
6609,Fw: â·Ã¡èÍ¹ ÁÕÊÔ·¸Ôì¡èÍ¹ !!!!,spam 
6610,ERV Notification:  (Violation/Notification Memo - 10/25/2001),ham 
6611,Credit Report--10/26/01,ham 
6612,RE: service of process/ Keiffer Request for Insurance Info,ham 
6613,Centana Demand for July,ham 
6614,RE: ,ham 
6615,NELawExpress(coaoct23),ham 
6616,Vacation Day,ham 
6617,RE: service of process/ Keiffer Request for Insurance Info,ham 
6618,Fw: *EMCA* Moe's Technique,ham 
6619,HAPPY FRIDAY from HR! (Cookies),ham 
6620,For the self-indulgent baby boomer.,spam 
6621,Re: Citation.xls,ham 
6622,FW: Product Type Approval Needed (US PlasticHDPE Fin Swap),ham 
6623,The Oxford Princeton Programme E-Newsletter,spam 
6624,Undeliverable mail,ham 
6625,XMS Concur Expense,ham 
6626,FW: Increased Security at Enron Center,ham 
6627,ERV Notification:  (Violation/Notification Memo - 10/25/2001),ham 
6628,Changed ERCOT Options 10/25,ham 
6629,Networks/Financial Trading QLR Cancelled,ham 
6630,Delivery Status Notification (Success),ham 
6631,FW: Heart Walk - Last minute items...,ham 
6632,RE: Questar Southern Trails Data Room OCT 29 - 30 (Monday and Tuesday),ham 
6633,<<Concur Expense Document>> - JGuerrero 10/24/01,ham 
6634,RE: GE Presenter for NGI subcommittee,ham 
6635,RE: VMAC NDA,ham 
6636,RE: ,ham 
6637,10-25 Enovate DPR,ham 
6638,Appalachian Supply to Wellhead Bood,ham 
6639,FW: OTC Margin Analysis for 10/25/01 Activity,ham 
6640,RE: Weird procedural situation,ham 
6641,FW: Fimat - Account opening documentation,ham 
6642,Vacation Calendar,ham 
6643,"LYNN AVEN SAYS, NO PROBLEM-WILL DO LUNCH AGAIN LATER. ",ham 
6644,The Oxford Princeton Programme E-Newsletter,spam 
6645,GPCM News: 10/26/01: GPCM Demos in Houston Nov 1,ham 
6646,FW: Winter Market Area Capacity,ham 
6647,ERV Notification:  (Violation/Notification Memo - 10/25/2001),ham 
6648,FW: My Contact Information,ham 
6649,RE: Texas Monthly November 2001: How Enron Blew It,ham 
6650,RE: QF payments,ham 
6651,ERV Notification:  (West VaR and Peak Position Report By Trader - 10/25/2001),ham 
6652,CONFIDENTIAL Personnel issue,ham 
6653,"Pulpex Bulletin No. 1098 @ October 26, 2001",ham 
6654,Gas Indices ,ham 
6655,RE: Electric Pwr Conf - Natural Gas Infrastructure Committee,ham 
6656,RE: ,ham 
6657,RE: Greeley Gas Company,ham 
6658,EPE PARKING DEAL 10/29/01,ham 
6659,RE: MSN,ham 
6660,=?utf-8?B?b25lIG1vcmUgdGltZQ==?=,spam 
6661,Start Date: 10/26/01; HourAhead hour: 10;  <CODESITE>,ham 
6662,RE: Napa and Sonoma Trip,ham 
6663,"=?koi8-r?B?8sXLzMHNwSDXzyDX08XIIMTOxdfO2cggxsnSzcXOztnIINDPxdrEwcgg7e/z6/fhIC0g8/DiIC0g?=
	=?koi8-r?B?7e/z6/fhISDQ087F3iA=?=",spam 
6664,Re: MLS Properties from RANDY A LASATER,ham 
6665,RE: Mayoral Race,ham 
6666,RE: ,ham 
6667,phone conference with fp&l,ham 
6668,FW: Williamette Enovative,ham 
6669,ERV Notification:  (Violation/Notification Memo - 10/25/2001),ham 
6670,RE: Midwest Meeting with ARTO,ham 
6671,RE: Option Sensitivity,ham 
6672,FW: New West Power Book,ham 
6673,Re: Data Room,ham 
6674,RTO Week Bare Essentials Leave-Behinds,ham 
6675,Oneok recap Oct.24th,ham 
6676,Re: Cal 02,ham 
6677,RE: Tunnel of Fundge?,ham 
6678,Read: Assignment of Convertible Book,ham 
6679,RE: Testing Request,ham 
6680,RE: Bridgeline Cash and AR,ham 
6681,RE: SCE Stipulation,ham 
6682,PROS Announces Energy Profit Optimization Workshop Agenda ,ham 
6683,FW: EOL and Clickpaper Approvals for 10-25-01,ham 
6684,California Capacity Report,ham 
6685,RE: MSN,ham 
6686,Start Date: 10/26/01; HourAhead hour: 12;  <CODESITE>,ham 
6687,,ham 
6688,October 31st Power Marketing Conference Call Agenda,ham 
6689,Delivery Status Notification (Relay),ham 
6690,anal internal cumshots,spam 
6691,FW: VMAC NDA,ham 
6692,FW:  moments,ham 
6693,RE: ,ham 
6694,Key West - 13MW,ham 
6695,Bryan's workload,ham 
6696,ISO NY Real time financial index,ham 
6697,The Motley Fool Registration,ham 
6698,Changed ERCOT Options 10/25,ham 
6699,Market Knowledge Survey (not a test!!),ham 
6700,RE: SoCal Storage,ham 
6701,RE: Texas Monthly November 2001: How Enron Blew It,ham 
6702,DRAFT- FINAL REMINDER- To All US Employees who Participate in the Enron Savings Plan,ham 
6703,RE: Enron Support of a Standards Setting Organization,ham 
6704,Power Indices ,ham 
6705,=?GB2312?B?gUaDZoOKg2+DioFbg3eDi4NYkcyMsZJrgUWCUQ==?=,spam 
6706,"For the 5th consecutive year, BA294.1 Corporate Social
  Responsibility...",ham 
6707,Monitor Sale,ham 
6708,FW: Comments on the Status of ENE ($16/sh).,ham 
6709,FW: PAA Form,ham 
6710,,ham 
6711,RE: SCE Stipulation,ham 
6712,RE: Williams,ham 
6713,RE: petrobras update,ham 
6714,HOTLINE's Up!,ham 
6715,RE: Chase Manhattan Bank,ham 
6716,Advance Notice of Proposed Rulemaking-Standardizing Generator Interconnection Agreements and Procedures,ham 
6717,California Capacity Report,ham 
6718,FW: Just curious,ham 
6719,iPayit Invoice Date Changes,ham 
6720,RE: Phone Numbers,ham 
6721,Good for a laugh,ham 
6722,SCS OPENING CRUDE STRADDLES 10-26,ham 
6723,Out of Office AutoReply: ITCentral feedback from: spanus,ham 
6724,RE: petrobras update,ham 
6725,Spraggins Vacation,ham 
6726,Enron Structure Sheet - October 26,ham 
6727,=?GB2312?B?y824+MTjtcTDtbnlx+nIyw==?=,spam 
6728,(±¤°í)ÃÖ´Ü±â ÇÐ»çÃëµæÀÇ ¹® ¿­¸³´Ï´Ù..(¹«.·á.ÀÚ.·á.¸¦ ¹Þ¾Æº¸¼¼¿ä!!)......67524535@,spam 
6729,FW: Aspect Amendment,ham 
6730,RE: Hey you!,ham 
6731,ERCOT-Austin Parking,ham 
6732,MOPS Summary ,ham 
6733,Mike,ham 
6734,California Capacity Report for Week of 10/22-10/26,ham 
6735,America Fights Back - The Latest,ham 
6736,RE: SCE Stipulation,ham 
6737,"New alternative remedy may help fight SARS, HIV, Cancer",spam 
6738,RE: Williamette Enovative,ham 
6739,"FERC Notice of Staff Public Meeting on Generator
	Interconnection ANOPR & EPSA Preparatory Breakfast",ham 
6740,FW: NaturalGas Information Request,ham 
6741,RE: Full Requirements - Due Dilligence Items,ham 
6742,RE: Exelon + Enron -- Do the financials look good?,ham 
6743,<<Concur Expense Document>> - 10/26/01,ham 
6744,FW: VMAC NDA,ham 
6745,California Capacity Report,ham 
6746,ERV Notification:  (Power West P/L - 10/25/2001),ham 
6747,Bullets,ham 
6748,FW: Comments on the Status of ENE ($16/sh).,ham 
6749,,ham 
6750,ERV Notification:  (Violation/Notification Memo - 10/25/2001),ham 
6751,ERV Notification:  (Violation/Notification Memo - 10/25/2001),ham 
6752,RE: meeting with enron,ham 
6753,UST Earnings,ham 
6754,Fwd: FERC ANOPR on Generator Interconnection,ham 
6755,Vacation Day,ham 
6756,CNBC: Enron Comment,ham 
6757,RE: SCE Stipulation,ham 
6758,status of London Doorsteps,ham 
6759,RE: Crestone 10/00,ham 
6760,"Next Monday Oct 29th: Kicking off the 2002 UC Berkeley
  Business Plan Competition",ham 
6761,Daylight Savings Time,ham 
6762,Oneok recap Oct.24th,ham 
6763,Public Utility District No. 1 of Franklin County,ham 
6764,RE: Hello from Houston,ham 
6765,TW Sch,ham 
6766,SoCal Storage,ham 
6767,ERV Notification:  (Power West P/L - 10/25/2001),ham 
6768,RE: Bridgeline Cash and AR,ham 
6769,Start Date: 10/26/01; HourAhead hour: 12;  <CODESITE>,ham 
6770,Pillow Talk,ham 
6771,RE: CONFIDENTIAL Personnel issue,ham 
6772,Hi KPD!,ham 
6773,Enron West Gas Pricing Report,ham 
6774,RE: Tonight,ham 
6775,RE: Changed ERCOT Options 10/25,ham 
6776,In re Enron Petrochemicals Claim Against Underwriters,ham 
6777,Opeational Flow Order,ham 
6778,is it possible ,ham 
6779,Delivery Status Notification (Success),ham 
6780,Read: Assignment of Convertible Book,ham 
6781,FW: ETS  - Investor Questions ,ham 
6782,Mayoral Race,ham 
6783,General Ledger Close Training,ham 
6784,interviewer list,ham 
6785,Nicor Enerchange,ham 
6786,ERV Notification:  (West VaR and Off-Peak Position Report By Trader - 10/25/2001),ham 
6787,"TW Weekly Report for October 26, 2001",ham 
6788,Monthly Report on SLA Activity,ham 
6789,The Oxford Princeton Programme E-Newsletter,spam 
6790,RE: VMAC NDA,ham 
6791,California Capacity Report,ham 
6792,Enron Sues Microsoft Over Failed Broadband Services Deal,ham 
6793,New Smyrna - Park and Lend,ham 
6794,"Credit Suisse First Boston contacts - Strategic Investment
 Opport unity",ham 
6795,Just a note of support,ham 
6796,Good Morning!,ham 
6797,Confidentiality Agreement - 84 Lumber Co.,ham 
6798,Happy Hour for John Suarez Today - 5pm at the Front Porch,ham 
6799,Full Requirements - Due Dilligence Items,ham 
6800,RE: Thanks,ham 
6801,Re: *EMCA* Moe's Technique,ham 
6802,RE: Extend Deadline,ham 
6803,$80 CASH and Free Phone from AT&T,spam 
6804,"Midday Market View for October 26, 2001 ",ham 
6805,message,ham 
6806,Electric Distribution Reliability,spam 
6807,TIS close schedule - remaining items,ham 
6808,Mainline Expansion 250 & 300 MMcf/d Scenarios - Revised,ham 
6809,RE: message,ham 
6810,Previous conversation....,ham 
6811,Tonight,ham 
6812,petrobras update,ham 
6813,FW: Revised Loss Definition.DOC,ham 
6814,RE: service of process/ Keiffer Request for Insurance Info,ham 
6815,RE: A&K update,ham 
6816,Return receipt,ham 
6817,Europe Budget Review,ham 
6818,Read: Revised Purchase for September,ham 
6819,"RE: TW & NNG: Rate Base, Capitalization, Overall Return and Return on Equity - CONFIDENTIAL",ham 
6820,Start Date: 10/26/01; HourAhead hour: 13;  <CODESITE>,ham 
6821,California Capacity Report for Week of 10/22-10/26,ham 
6822,Public Utility District No. 1 of Benton County,ham 
6823,SCS NATURAL GAS 11:30 STRADDLE UPDATE,ham 
6824,=?GB2312?B?gUaDZoOKg2+DioFbg3eDi4NYkcyMsZJrgUWCUQ==?=,spam 
6825,FW: OU Info-1 (10/25),ham 
6826,Dream Vacations® from Delta Vacations!,spam 
6827,RE: Mt. Jesus Drip  and Oneok payment,ham 
6828,thanks,ham 
6829,Chris Simms,ham 
6830,Tunnel of Fundge?,ham 
6831,FW: Enron North America,ham 
6832,FW: New PNR points for Transwestern,ham 
6833,Monitor Sale,ham 
6834,Undeliverable mail,ham 
6835,RE: CONFIDENTIAL Personnel issue,ham 
6836,Hey you!,ham 
6837,RE: london product positions,ham 
6838,"Credit Suisse First Boston contacts - Strategic Investment
 Opport unity",ham 
6839,Hi again,spam 
6840,DPR Report for 10/25/01,ham 
6841,RE: Midwest Meeting with ARTO,ham 
6842,RE:  Preview Party,ham 
6843,FW: New Football Pool,ham 
6844,Travelocity.com fare watcher update,ham 
6845,Your Weekly Movie Showtimes from Amazon.com,spam 
6846,EOL and Clickpaper Approvals for 10-25-01,ham 
6847,RE: Bridgeline Cash and AR,ham 
6848,LA±â¾î(Á¤Ç°!) ½ºÆ½À» Àú°¡¿¡ µå¸³´Ï´Ù.( µî»ê¿ë-¾î¸£½Å ¼±¹°¿ë!),spam 
6849,RE: ,ham 
6850,Revised File - Look at San Juan Sheet,ham 
6851,FW: End of quarter origination numbers - Revised Origination Schedule,ham 
6852,Commissioner.COM E-Reports for Get Bad with Yourself 10/26/01,ham 
6853,RE: FYI-Tracking Account for some non-controllable components,ham 
6854,MPR 10/25/01,ham 
6855,CPA Exam Vacation/Comp Days,ham 
6856,SCS OPENING NATURAL GAS STRADDLE UPDATE,ham 
6857,,ham 
6858,Power Indices ,ham 
6859,RE: RMT masters,ham 
6860,Message from a Hawg Driver (A-10 Warthog),ham 
6861,DAILY: Wall Street Didn't Buy The Bad Reports,ham 
6862,=?utf-8?B?V2luZG93cyBYUCAmIE9mZmljZSBYUCBmb3IgJDgwLiAgaGVyYml2b3JvdXMgY2hvcmU=?=,spam 
6863,"TW Weekly Report for October 26, 2001",ham 
6864,FW: Fimat - Account opening documentation,ham 
6865,Financier's love of bluegrass leads to concert.htm,ham 
6866,FW: Police Officer / joke,ham 
6867,RE: DISCO of the Future ,ham 
6868,RE: ,ham 
6869,RE: ,ham 
6870,The Oxford Princeton Programme E-Newsletter,spam 
6871,Columbia Gulf NDA,ham 
6872,RE: EOL and Clickpaper Approvals for 10-25-01,ham 
6873,SCS CRUDE STRADDLE UPDATE 11:30,ham 
6874,*EMCA* Moe's Technique,ham 
6875,"Note: this Return Receipt only acknowledges that the message was 
 displayed on the recipient's machine. There is no guarantee that the 
 content has been read or understood. - Revised Purchase for September",ham 
6876,RE: Administrative Changes,ham 
6877,Nutcracker Volunteer Opportunity,ham 
6878,"PULP, WRITING & PRINTING PAPER 10/26/2001",ham 
6879,A $15 Gift to Spend on Your Wish List,spam 
6880,FW: Aspect Amendment,ham 
6881,Follow up,ham 
6882,Crestar 9/01,ham 
6883,PROS Announces Energy Profit Optimization Workshop Agenda ,ham 
6884,British Energy Update,ham 
6885,executable agreement for Smith Day,ham 
6886,"See below for the enchilada place I was talking about - finally t
	racked it down!!",ham 
6887,Delivery Status Notification (Relay),ham 
6888,Fundies Database Access,ham 
6889,MSN,ham 
6890,Lonestar Ward and Pecos,ham 
6891,RE: Full Requirements - Due Dilligence Items,ham 
6892,FW: Williamette Enovative,ham 
6893,Delivery Status Notification (Relay),ham 
6894,TXU Trading,ham 
6895,RE: SCE Stipulation,ham 
6896,FW: Enron Sues Microsoft Over Failed Broadband Services Deal,ham 
6897,FW: Assignment of Convertible Book,ham 
6898,Commissioner.COM E-Reports for Get Bad with Yourself 10/26/01,ham 
6899,Gas Indices ,ham 
6900,=?iso-8859-1?B?SW5kaXNwZW5zYWJsZSBzb2Z0d2FyZSAtIGZyaWVuZGx5IHByaWNlcw==?=,spam 
6901,Open House,ham 
6902,Groovy :),spam 
6903,Palo Alto Invoice,ham 
6904,Better st0ck perf0rmance frOm Otc he|p|ine,spam 
6905,Buenos dias!,spam 
6906,continental.com Specials for Kevin Ruscitti,spam 
6907,RE: Increase in Demand for Brokerage Agreements,ham 
6908,Scott Holloway has sent you an invitation.,ham 
6909,Elloelloello :),spam 
6910,"=?ISO-2022-JP?B?GyRCJDckQyQrJGokSCUkJUMbKEI=?=
 =?ISO-2022-JP?B?GyRCJEEkYyQkJF4kOSJ2GyhC?=",spam 
6911,Take that!,spam 
6912,Your infomation..,spam 
6913,"escape \/AL11UM, AMB11EN, XANAAX, TUSSI0NEEX, C1AL1IS, \/11AGRRA, AD1PEX FROM $65 fasten cry",spam 
6914,=?koi8-r?B?4dfUb3Bjy3XKINPFzXXOwXA6IObp7uHuQ0/3QfEg6e725e5F8unxIG/F0iDOxcog?=,spam 
6915,Darlin! :),spam 
6916,CADER's DG Conference in San diego.,ham 
6917,Check this!,spam 
6918,FW: EOL and Clickpaper Approvals: 10-2-01,ham 
6919,Get cialis for cheap,spam 
6920,Hello,spam 
6921,Re[5]: discussion with our meds,spam 
6922,Hi!,ham 
6923,FW: Refrigerator on 39,ham 
6924,hello,ham 
6925,How's tricks?,spam 
6926,=?utf-8?B?SGkgYWdhaW4=?=,spam 
6927,"=?ISO-2022-JP?B?GyRCJDckQyQrJGokSCUkJUMbKEI=?=
 =?ISO-2022-JP?B?GyRCJEEkYyQkJF4kOSJ2GyhC?=",spam 
6928,Re[1]: talk thread about his tablets,spam 
6929,fwdÒâèñòà Áðåéä - ïðèáîð äëÿ çàâèâàíèÿ êîñè÷åê        ,spam 
6930,"=?ISO-2022-JP?B?GyRCTCQ+NUJ6OS05byIoIVo0fDRWGyhC?=
 =?ISO-2022-JP?B?GyRCOEJEaiFbRnw6IiRONDY8VSRONSQ7fSRBJHI5fhsoQg==?=
 =?ISO-2022-JP?B?GyRCJGEkRiEqISobKEI=?=",spam 
6931,Re[5]: talk about your health,spam 
6932,=?iso-8859-1?B?TmVjZXNzYXJ5IHNvZnR3YXJlIHByb2R1Y3RzID0gZXhjZWxsZW50IHByaWNlcw==?=,spam 
6933,Perhaps we can aid you.,spam 
6934,fw,spam 
6935,Re[5]: talk about her tabs,spam 
6936,Hej.,spam 
6937,H0t penny pick fueled by high demand,spam 
6938,"stock alert, buy",spam 
6939,Re[1]: talk thread about his tablets,spam 
6940,"»õÇØ¿¡´Â °í·ÁÈ«»ïÀ¸·Î °¡Á·°Ç°­ Ã¬±â¼¼¿ä/¹«·áÁõÁ¤.,ÇÑ°¡Á¤´ç 1È¸!",spam 
6941,=?utf-8?B?NjMlIG9mZiBmb3IgQWxsIE5ldyBTb2Z0d2FyZS4gIHByaXZ5IGNvbnNpZGVyZWQ=?=,spam 
6942,Links to Ferc Filings,ham 
6943,Budget Spreadsheets ,ham 
6944,relieve yourself of pain,spam 
6945,Hallo!,spam 
6946,Re[9]: talk thread about her tabs,spam 
6947,"What's your pleasure, squire?",spam 
